student;sex;highgpa;gpa1;gpa2;gpa3;gpa4;gpa5;gpa6;job1;job2;job3;job4;job5;job6;admitted
52;1;3,5;2,5;2,9;3;3,3;3,3;3,3;2;2;2;2;2;2;9
53;0;2,3;2,8;3,4;2,7;3;2,8;3;2;2;2;1;2;1;1
54;1;2,2;2,8;2,5;3,3;3,3;3,2;3,4;2;2;2;2;2;2;9
55;0;3,3;2,4;2,8;3,2;3,2;3,1;3,5;2;2;2;2;2;2;1
56;0;2,1;2,2;2;2,6;2,6;2,9;3,1;2;2;2;3;2;2;1
57;0;3,5;2,5;2,9;2,8;2,8;3,4;3,3;2;2;3;2;2;2;1
58;1;2,5;2,5;2,2;2,4;2,8;2,9;3,1;2;2;3;3;2;2;0
59;0;2,5;2,8;2,8;2,6;3,1;3;3,3;2;2;3;2;2;1;1
60;0;2,3;2;2,7;2,6;2,8;3,1;2,9;2;3;2;2;2;2;0
61;0;2,5;2,4;3,1;3,2;3,3;3,5;3,5;3;2;2;1;1;1;9
62;0;3;2,4;2,2;2,5;3;2,9;3,4;2;2;2;2;2;1;9
63;1;3,8;2,6;3,1;3,1;3,5;3,4;3,4;2;2;2;2;2;1;9
64;1;2,2;2,4;2,9;2,7;3,3;3,2;3,4;2;2;2;2;2;2;1
65;0;3,6;1,9;2,9;2,4;2,8;2,8;2,7;3;2;2;2;2;2;0
66;1;3,8;2,3;2,7;3,2;3,3;3,4;3,7;3;2;2;2;2;2;9
67;1;3,3;2,6;3;2,5;2,4;2,6;2,6;2;2;2;2;2;2;0
68;0;2,9;2,3;2,1;2,3;2,8;2,7;3,1;3;2;3;2;3;2;1
69;0;2,5;2,3;2,3;2,5;2,7;2,7;2,8;2;2;3;2;3;2;0
70;0;3,7;2,7;2,4;3;3,2;2,9;3,1;2;3;2;2;2;1;1
71;1;3,4;2,9;2,8;3;2,8;2,9;2,8;2;2;2;2;2;2;1
72;1;2,9;3;3,1;3,5;3,2;3,7;3,7;2;2;2;2;2;2;1
73;0;4;2,6;2,5;2,6;2,8;2,6;2,6;2;2;2;2;2;2;0
74;0;3,4;3,5;2,9;2,8;3,1;3,1;3,3;2;3;3;2;2;2;9
75;1;2;2,5;2,5;3,2;3;3,2;3;2;2;2;2;2;2;0
76;0;2,9;2,4;2,9;2,8;3,4;3,3;3,5;2;2;2;1;1;1;9
77;1;2,8;2,4;3,1;3,2;3,8;4;4;2;2;2;2;1;1;9
78;0;2,9;2,4;2,5;2,1;2,5;2,3;2,8;3;2;2;2;2;2;0
79;1;2,6;2,3;1,8;2,2;2,3;2,5;2,8;2;3;3;3;2;2;0
80;1;3,7;3,1;2,8;3;3,1;3,4;3,2;2;3;2;2;2;2;9
81;1;2,2;2,3;2,4;2,8;3,1;3,3;3,6;2;3;2;2;2;2;9
82;1;3,6;3,3;3,2;2,7;3,2;3,3;3,6;2;2;2;2;2;2;9
83;1;2,3;2,5;3,1;3,2;3,3;3,4;3,4;2;2;1;2;2;1;9
84;0;3,7;2,3;2,1;2,4;2,1;2,2;2,4;2;3;3;2;3;3;0
85;1;2,8;2,4;2,8;3,1;3,3;3,1;3,3;3;2;2;2;2;2;0
86;0;2,5;2,7;2,5;3;2,5;2,6;2,6;2;2;2;2;2;2;1
87;1;2,1;2,3;2,7;2,7;3,2;3,1;3,2;2;2;2;2;2;2;1
88;0;2,2;2,7;2,8;2,5;2,7;3,1;3;2;2;3;2;2;2;1
89;0;3,7;2,6;2,8;3,2;3;3,1;3,5;2;2;2;2;2;2;9
90;1;2,6;2,4;2,5;2,7;3;3;3,2;2;2;2;2;2;2;0
91;0;3,6;2;2,5;2,3;2,5;2,8;2,9;2;2;2;2;2;3;0
92;1;2,7;2,7;3,2;3,8;4;4;4;2;2;2;1;1;1;9
93;0;3,5;2,9;3,5;3,2;3,3;3,4;3,4;2;2;2;2;2;2;9
94;1;3,7;2,7;2,9;3;2,7;2,7;2,8;2;3;2;3;2;2;1
95;1;3,4;2,5;2,5;2,9;2,8;2,7;2,9;2;2;2;2;2;2;0
96;1;2,3;2,4;2,5;2,8;3,3;3,4;3,8;2;2;3;2;2;2;9
97;0;2,6;2,3;2,5;3;3,2;2,9;2,9;3;3;2;2;2;2;0
98;1;3,4;3,3;2,4;3,2;3,2;3,1;3,3;2;2;2;2;2;2;9
99;1;2,9;2,2;2,7;2,7;2,8;2,8;2,8;2;2;3;3;3;2;1
100;0;2,8;2,7;2;2;2,3;2,4;2,7;3;2;3;3;3;3;0
101;1;3,4;2,8;2,7;3,1;3,6;3,6;3,7;2;2;2;2;2;1;9
102;0;3,5;3,1;2,9;2,7;2,6;2,9;2,7;2;2;2;3;2;2;1
103;1;2,3;2,2;2,4;2,8;2,8;3,1;2,9;2;2;3;2;2;3;1
104;1;3,5;2,3;2,8;2,9;3;3,4;3,4;2;2;2;2;2;2;1
105;1;3,6;3,4;3,9;3,9;3,5;3,9;3,9;2;2;2;2;2;2;9
106;0;2,6;1,8;2,8;2,6;2,3;2,5;2,7;3;2;2;2;2;2;0
107;0;3,2;2,4;2,5;2,3;2,3;2,6;2,7;2;2;2;2;2;2;0
108;0;2,3;2,7;2;2;2,6;2,5;2,7;2;2;3;2;2;2;0
109;0;3,2;2,7;2,7;2,7;3,1;2,8;2,7;2;2;2;2;2;2;1
110;0;2,4;2,5;2,3;2,2;2,2;2,2;2,3;2;2;2;3;2;2;0
111;1;2,2;2,4;2,5;2,2;2,4;2,2;2,5;2;2;2;2;3;2;0
112;1;2,5;3;3,5;3,2;2,9;3;3,1;2;2;2;2;2;2;9
113;0;3,7;2,7;2,4;3;2,5;2,6;2,8;2;2;2;3;3;3;1
114;1;4;2,8;2,3;2,8;2,9;3;3,1;2;2;2;2;2;2;1
115;1;3,6;2,2;2,1;3,1;3;3;3,2;2;3;2;2;2;2;1
116;1;2,2;2,5;2,3;2,8;2,7;2,9;3,1;2;2;2;3;3;2;0
117;1;2,3;2,8;2,1;3;3,1;3;3,1;2;2;2;2;2;2;0
118;1;2,2;2,5;2,4;3;3,3;3,3;3,6;2;2;2;2;1;2;9
119;0;2,4;2,4;2,5;2,6;2,5;2,8;2,9;3;2;2;2;3;3;0
120;0;3,9;2,5;3,2;3,2;2,8;3;3,3;2;2;2;2;2;2;1
121;0;3,7;2,9;2,7;2,6;3;3,3;3,3;2;2;2;2;2;2;1
122;1;2,5;3;3,3;2,9;3;3,1;3,6;2;2;3;2;2;2;9
123;0;2,8;2,9;2,3;2,3;2,4;2,2;2,5;2;2;3;2;2;2;1
124;1;3,6;2,5;3,1;2,5;3,3;3;3,4;2;2;2;2;2;2;1
125;0;3,8;2,8;2,3;2,7;2,4;2,6;3;2;3;3;2;3;2;0
126;1;3,1;2,5;2,7;2,1;3,1;3;3;2;2;2;2;2;2;1
127;0;2,5;2,7;2,3;2,4;2,6;2,3;2,5;3;3;2;2;3;3;0
128;1;3,8;3;2,7;2,3;2,7;2,9;3,1;2;3;2;3;2;2;1
129;1;3,4;2,7;2,8;2,7;2,7;2,9;2,9;2;3;2;2;2;3;1
130;0;2,9;2,4;2,9;3,6;3,1;3;3,1;2;2;2;2;1;2;9
131;1;2,2;2,8;3,1;3,2;3,1;3,4;3,7;2;2;2;2;2;2;9
132;0;2,7;2,2;2,7;3,4;3;3,3;3,7;3;2;2;2;2;2;0
133;0;2;2,5;2,8;2,3;2,1;2,3;2,5;2;2;2;2;2;2;0
134;1;2,8;2,5;3,1;2,8;2,8;2,9;3,2;2;2;2;2;3;2;1
135;1;2,3;3;2,7;3;3,1;3;3;2;3;2;2;2;2;9
136;1;2;2,8;2,5;2,8;2,4;2,8;2,7;2;2;3;2;2;3;1
137;0;2;2,8;2,1;2,7;2,8;3,1;3;2;2;2;2;2;2;1
138;1;3,3;2,5;2,8;2,7;2,7;2,9;3,1;2;2;2;2;2;2;1
139;1;3,9;2,5;3,1;3;3,3;3,3;3,4;2;2;2;2;1;2;9
140;0;2,8;2,5;2,9;2,6;2,6;2,9;2,8;2;2;2;2;2;3;0
141;1;2,1;2,7;3,1;3,1;3,1;3,4;3,1;2;2;2;2;2;2;9
142;1;2,9;2,8;2,9;3,1;3;3,1;2,9;2;3;2;2;2;3;1
143;1;3,1;2,9;2,7;2,4;2,9;3;3;3;3;2;2;2;1;9
144;1;3,6;2,5;3;2,9;3;3;3,4;2;2;2;2;2;2;1
145;1;2,8;2,4;2,5;2,8;2,9;2,9;3,2;2;2;2;3;3;2;0
146;1;3,4;2,6;2,4;2,3;2,5;2,5;2,9;3;2;2;2;2;3;0
147;0;3,4;2,6;2,9;3,4;3,5;3,6;3,9;2;2;2;2;2;1;9
148;0;3,1;2,5;3;2,5;2,6;2,8;2,8;2;2;2;2;3;3;0
149;1;2,4;2,7;2,7;2,4;2,9;3;3,1;3;2;2;2;1;2;0
150;0;2,7;2,7;2,8;2,4;2,4;2,6;2,7;2;3;2;2;3;3;0
151;1;2,2;2,4;2,5;2,5;2,9;2,7;2,9;2;2;2;2;2;2;0
152;0;3,8;2,4;2,9;2,7;2,7;2,8;2,9;2;2;3;3;2;2;1
153;1;2,5;2,5;3;2,7;2,8;3;3;2;2;2;2;2;2;0
154;0;2,9;2,6;2,7;3,2;3,3;3,4;3,5;2;2;2;2;2;1;9
155;0;2,9;2,7;3,1;2,5;2,7;2,7;2,9;2;2;2;2;3;3;0
156;0;3,9;2,6;2,7;2,7;3;2,8;2,8;2;2;2;2;2;3;0
157;1;2,1;3,3;3;3,1;3,3;3,4;3,4;2;2;2;2;2;2;9
158;1;2,6;3;2,8;2,9;2,7;2,8;2,8;2;2;2;2;2;3;0
159;1;3,1;3;3;3,1;3,4;3,8;4;2;2;2;2;2;1;9
160;1;3,4;2,9;2,7;3,2;3,4;3,7;3,8;2;2;2;2;2;2;9
161;0;3,1;2,6;2,5;2,7;2,8;2,8;3,1;2;2;3;2;3;2;1
162;1;2,7;1,7;2,5;2,2;2,7;2,6;2,5;3;2;2;2;3;2;0
163;1;3;2,2;2,5;2,9;2,9;3,2;3,2;3;3;2;2;1;2;9
164;0;2,5;2,5;2,4;2,6;2,8;2,8;3,3;3;3;2;2;2;2;9
165;1;3,8;2,8;2,7;2,9;2,9;2,9;2,9;2;2;3;2;2;2;0
166;1;2,5;3;2,5;3,2;3,2;3,2;3,4;2;2;2;2;2;2;9
167;0;2,8;2,7;2,9;3,1;2,8;3,6;3,5;2;3;1;3;1;2;1
168;0;3,2;2,9;2,9;3;3,3;3,4;3,5;2;2;2;2;2;2;9
169;0;3,9;2,9;2,7;3;3,2;3,6;3,6;2;2;2;2;2;2;9
170;0;2;2,4;3,1;3,2;3,7;3,6;3,9;2;2;1;2;2;2;1
171;0;2,7;2,3;2,4;2,7;2,7;2,5;2,6;2;2;2;3;2;3;0
172;1;3,4;2,7;2,8;3;2,4;2,8;3,2;2;3;2;2;2;2;1
173;1;3,7;2,2;3,1;3;3,4;3,7;3,6;2;2;2;2;2;2;1
174;1;3,2;2,8;2,7;2,9;3,2;3;3,4;2;2;3;2;1;2;9
175;0;3,7;2,3;2,9;3,1;2,8;3,4;3,3;2;2;2;2;1;1;9
176;0;3,7;2,9;2,7;2,8;2,7;2,6;2,9;2;2;2;2;2;3;0
177;0;3,9;2,9;3;3,1;2,8;3,3;3,4;2;2;1;2;2;1;9
178;0;3,5;2,8;2,9;2,8;3;2,9;2,9;2;2;2;2;2;2;1
179;1;2,8;2,7;3,4;2,5;2,8;2,9;3,2;3;2;2;2;3;2;1
180;0;2,3;2,9;2,5;2,5;2,5;2,6;2,6;2;2;3;2;3;2;0
181;0;3,2;2,3;2,4;2,2;2,6;2,6;2,7;2;2;2;3;3;2;1
182;1;3,7;2,7;3,2;3,1;3,1;3,3;3,3;2;2;2;1;2;2;1
183;0;3;2,7;2,5;2,7;2,3;2,6;2,6;2;3;2;2;2;2;0
184;1;4;2,3;2,8;2,8;3;3,1;3,3;3;2;2;2;1;2;9
185;1;3,7;2,6;3,1;3;3;3,2;2,9;3;2;2;2;2;3;1
186;1;3,4;2,2;2,4;3;2,9;3,2;3,1;2;3;2;2;2;2;1
187;1;2,2;2,4;2,2;2,1;2,4;2,8;2,8;2;2;2;2;3;3;1
188;1;2,1;2,3;2,7;3,3;3,2;3,1;3,6;2;2;2;2;2;2;1
189;0;2,6;3,3;3,3;2,8;3;3,1;3,1;2;2;3;2;2;2;9
190;0;3,9;1,7;2,3;2,7;2,5;2,6;2,8;3;2;2;2;2;3;0
191;1;2;2,4;2,8;2,8;3;3,1;2,9;2;2;2;2;2;3;1
192;1;2,9;2,9;3;2,4;2,9;2,8;2,9;2;2;2;2;2;2;1
193;0;3;3,1;2,8;2,7;2,7;2,9;3,3;2;3;2;3;2;2;9
194;0;2,2;2,4;2,4;2,6;3,1;3,4;3,3;2;3;3;2;2;2;0
195;0;2,5;2,4;2,7;2,2;2,2;2,4;2,5;2;2;3;2;2;2;0
196;1;3,5;2,2;2,5;2,7;3,1;3,3;3,2;2;2;2;2;2;2;9
197;1;2,1;2,9;2,5;2,8;3,2;3,3;3,8;2;2;3;2;2;2;9
198;0;4;2,5;2,9;3;3,2;3,3;3,4;2;2;2;2;1;2;9
199;1;2,3;2,6;2,3;2,7;2,7;2,8;2,8;2;2;3;2;2;3;1
200;0;3,4;2,8;3,2;3,4;3,5;3,3;3,4;2;2;2;2;1;1;9
